"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"285108801718325248","285101256668758016","224726116","","","2012-12-29 19:43:30 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@ninabojana Prema najavama provjere kre?u tek od velja?e. Javi nam ako bude ikakvih problema."
"285108513498333185","285100614092984320","224726116","","","2012-12-29 19:42:21 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@ninabojana @vremenaduh Vi imate rje?enje, ali ?isto da i druge podsjetimo da valja biti na oprezu. :)"
"285108118436839424","285099875555762176","773706883","","","2012-12-29 19:40:47 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@dtirelihr Hvala! Odlu?ni smo da stanemo na kraj prevarama. Prosje?ni dnevni prihod od 100 kuna nije realan."
"285104218564608002","","","","","2012-12-29 19:25:17 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[ROK] Podno?enje zahtjeva za #legalizacija bespravne gra?evine istje?e 31.12.2012 http://t.co/Mbxa58CP","http://ow.ly/gqk5y"
"285099231742681088","","","","","2012-12-29 19:05:28 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[UPOZORENJE] Provale u domove spadaju u ?e??a kaznena djela. Za?titite se od provala tijekom blagdana http://t.co/qDb3PYn8","http://ow.ly/gqjxh"
"285086657307357185","","","","","2012-12-29 18:15:30 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Ugostitelji, spremni za #fiskalizacija? Predano vi?e od 15000 zahtjeva za digitalni certifikat. http://t.co/ETMZcp61","http://ow.ly/gqkrC"
"285084085871865856","","","","","2012-12-29 18:05:17 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Ako ste u nekoj udruzi, pro?irite info - #javnarasprava o Zakonu o udrugama http://t.co/58uP8XNU #civilnodrustvo","http://ow.ly/gqkeO"
"285081807450419200","285076891797438464","423762212","","","2012-12-29 17:56:14 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@evilworks69 @ivana_culjak @NinaBojana Zakonom su propisane nov?ane kazne. Molimo, prijavite po?initelje. http://t.co/MAWp6XUA","http://ow.ly/gqm6e"
"285081243262009344","285076358470713345","224726116","","","2012-12-29 17:53:59 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@ninabojana U tom slu?aju, molimo te da osobu prijavi? najbli?oj policijskoj upravi jer se radi o kr?enju Zakona o eksplozivnim tvarima."
"285080257080459266","285034700941176834","427550431","","","2012-12-29 17:50:04 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@travahr Radi se o dekriminalizaciji posjedovanja droge za vlastite potrebe. http://t.co/kNr6TFT2","http://ow.ly/gqlRg"
"285069140014821376","","","","","2012-12-29 17:05:53 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Za praznike ne ostajete kod ku?e? #MUP upozorava: Za?titite se od provala tijekom blagdana http://t.co/qDb3PYn8","http://ow.ly/gqjxh"
"285011104344711168","","","","","2012-12-29 13:15:17 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[ROK] za podno?enje zahtjeva za #legalizacija bespravne gra?evine istje?e 31.12. podsje?aju iz Ministarstva. Vi?e: http://t.co/yHPtG915","http://www.mgipu.hr"
