"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"163915371596877825","","","","","2012-01-30 09:24:04 +0000","<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","Predsjednik Vlade u Bruxellesu u posjeti misiji RH pri #EU http://t.co/BbfUXF49  http://t.co/Do1am2nr","http://bit.ly/xWs43L","http://twitpic.com/8dilhe"
"163715722072174592","163714462413631488","297393216","","","2012-01-29 20:10:44 +0000","web","@Intelsistem Hvala, trudimo se."
"163701922149302272","163692954974830592","106350970","","","2012-01-29 19:15:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Kristijan__K tweetup uskoro s vrlo zanimljivom temom, vise za koji dan.."
"163686198123036673","163685766545944577","236100137","","","2012-01-29 18:13:25 +0000","web","@bmarasovic @toncijukic Tu smo, pratimo i ?itamo ?to pi?ete. ?im saznamo ne?to vi?e, javit ?emo. Hvala na strpljenju."
"163654554158759938","","143064345","","","2012-01-29 16:07:40 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@McKatich S obzirom na novo ustrojstvo Vlade, odnosno novi raspored ministarstava, potrebno je neko vrijeme da (cont) http://t.co/bdD3PN8e","http://tl.gd/fk4e74"
"163613281062367233","","","163611181729320960","42954021","2012-01-29 13:23:40 +0000","web","RT @netokracija: [VIDEO] Ministar Lini? kroz video odgovorio na pitanja Twittera?a i Facebooka?a o prora?unu RH - http://t.co/IQjpKJYa # ...","http://ow.ly/8JOJI"
"163611648622460929","163608064216416256","56623585","","","2012-01-29 13:17:11 +0000","web","@ineskostel Ispri?avamo se ako je pitanje krivo shva?eno i vjerujemo da ?e biti jo? prilika za pitanja."
"163566740683505664","163540002398146560","14127683","","","2012-01-29 10:18:44 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@NebojsaG  A tek kad vidis poklon za ro?endan :)"
"163557699949305857","","","","","2012-01-29 09:42:49 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Nadamo se da su @KapitalacTwitt, @Kolekcionar, @poslovnipuls, @jklaric, @Intelsistem, @nevendobrijevic, @tvitolog i @ineskostel dobili odg."
"163552633687257088","163410647625900032","449296461","","","2012-01-29 09:22:41 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@dtumpic Razmotriti ?emo mogu?nost ukidanja posebne naknade koja se pla?a pri registraciji automobila koji imaju ugra?en plin."
"163377991945170944","","","","","2012-01-28 21:48:43 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","[YT] Ministar Lini? odgovorio je na va?a #proracun pitanja http://t.co/HsbAwWQy ""Ovako smo bli?i jedni drugima"" #politikahr","http://youtu.be/UjDMliv1xQg"
"163347790607560705","","","","","2012-01-28 19:48:42 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Nakon 10 godina vratio se optimizam u Hrvatsku, a Vladina politika ima veliku potporu! http://t.co/ZVAOHhLC via @dnevnikhr #politikahr","http://dnevnik.hr/vijesti/hrvatska/ekskluzivno-istrazivanje-nakon-10-godina-vratio-se-optimizam-u-hrvatsku.html"
"163307254853017600","","","","","2012-01-28 17:07:38 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","?estitamo mandataru i nadamo se suradnji! RT:?@Dnevnik_si: Janez Jan?a je novi mandatar za sestavo vlade. http://t.co/moU2KjiB?","http://ondn.si/yJ7zOz"
"163306966255538176","163306810667843584","297393216","","","2012-01-28 17:06:29 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@Intelsistem ubrzo :)"
"163305519442960385","163292449358360576","227109828","","","2012-01-28 17:00:44 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@DarioAlfirevic Shvatili smo poruku, hvala."
"163236949249888256","163233688824446978","41040125","","","2012-01-28 12:28:16 +0000","web","@oseloth @jelena_sb89 @robi052 @ivanadomic ?ekamo priop?enje, pa ?emo javiti informacije. #ACTA"
"163234194611388416","","","","","2012-01-28 12:17:19 +0000","web","@MarkoDinar Radi se samo o privremenom rje?enju."
"163225996475105281","163209285298434048","28197197","","","2012-01-28 11:44:44 +0000","web","@abfromz Sla?emo se i vjerujemo da ?e se stanje u obrazovanju promijeniti na bolje. cc @ssuljic"
"163225835032150017","","","","","2012-01-28 11:44:06 +0000","web","@MarkoDinar Sve je u vezi tog slu?aja komentirao predsjednik Vlade neki dan. http://t.co/NJnmloHa","http://vlada.hr/hr/naslovnica/novosti_i_najave/2012/sijecanj/konferencija_za_novinare_premijera_milanovica_i_ministra_financija_linica"
"163206396110839808","163195279858872320","28197197","","","2012-01-28 10:26:51 +0000","web","@abfromz Pohvale, svi?a nam se."
"163194140388106240","163193069930426368","333992335","","","2012-01-28 09:38:09 +0000","web","@kgolubic Hvala, drago nam je da si zadovoljan."
"162969573103124480","","","","","2012-01-27 18:45:48 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Grcic: Mjere kompenziraju mogu?i rast cijena. U?tede u javnom sektoru su mogu?e bez opu?tanja. #proracun #politikahr"
